股票编号,日期,流动资产,速动资产,流动负债
00042,2018-03,1209.76,15200.0,39200.0
00042,2017-12,1153.3,15800.0,39500.0
00042,2017-09,1575.67,19800.0,8421.15
00042,2017-06,1292.05,20500.0,8842.85
00042,2017-03,1586.37,23400.0,11700.0
00043,2018-12,431700.0,1579700.0,1340600.0
00043,2018-09,402500.0,1498100.0,1155800.0
00043,2018-06,417800.0,1440300.0,1213400.0
00043,2018-03,416200.0,1356800.0,1180700.0
00043,2017-12,400300.0,1248800.0,1067400.0
00043,2017-09,320700.0,1177000.0,899200.0
00043,2017-06,373700.0,1181800.0,918900.0
00043,2017-03,399000.0,1216600.0,807300.0
00045,2018-12,7360.08,178400.0,163800.0
00045,2018-06,6829.11,134900.0,295200.0
00045,2017-12,6436.51,234800.0,406300.0
00045,2017-06,6596.19,227200.0,162700.0
00045,2016-12,7334.98,262500.0,124700.0
00045,2016-06,7008.29,307900.0,119900.0
00045,2015-12,6869.8,320300.0,119600.00000000001
00045,2015-06,6939.77,276600.0,115700.0
00046,2018-12,63.35,31100.0,12300.0
00046,2018-06,116.52,32000.0,15600.0
00046,2017-12,119.79,28500.0,11700.0
00046,2017-06,49.04,28100.0,11299.999999999998
00046,2016-12,3.4,30200.0,13000.0
00046,2016-06,44.36,29500.0,14100.0
00046,2015-12,19.77,34400.0,9061.68
00046,2015-06,28.78,33500.0,9895.56
00047,2018-12,9528.68,79400.0,47300.00000000001
00047,2018-06,12600.0,77300.0,46100.0
00047,2017-12,9315.97,76700.0,45800.0
00047,2017-06,9435.68,67000.0,42800.0
00047,2016-12,8476.2,63600.0,40599.99999999999
00047,2016-06,10100.0,52300.00000000001,37000.0
00047,2015-12,10600.0,45900.0,30900.0
00047,2015-06,10800.0,42900.0,32400.000000000004
00048,2018-12,3192.8,25500.0,12600.0
00048,2018-06,2672.9,24000.0,12300.0
00048,2017-12,2437.7,25500.0,12400.0
00048,2017-06,2309.8,28000.0,13200.0
00048,2016-12,2456.6,32700.0,12600.0
00048,2016-06,1567.8,40300.0,5586.8
00048,2015-12,1566.3,59400.00000000001,5586.4
00048,2015-06,1614.9,78000.0,6838.0
00050,2018-12,97800.0,211900.0,15800.0
00050,2018-06,7769.93,202399.99999999997,15100.0
00050,2017-12,46800.0,256600.0,63500.0
00050,2017-06,44900.0,237000.0,65500.0
00050,2016-12,43600.0,208600.0,60000.0
00050,2016-06,40100.0,261400.0,28700.0
00050,2015-12,41300.0,270100.0,39600.0
00050,2015-06,44100.0,269600.0,52100.0
00051,2018-12,326800.0,568700.0,473500.0
00051,2018-06,8262.38,177100.0,422400.0
00051,2017-12,12400.0,261300.0,569600.0
00051,2017-06,80900.0,322100.0,611900.0
00051,2016-12,175300.0,694300.0000000001,811700.0
00051,2016-06,165600.0,670000.0,641300.0
00051,2015-12,226400.0,832700.0,657800.0
00051,2015-06,267300.0,735200.0,524700.0
00052,2018-09,3569.61,69000.0,51500.0
00052,2018-03,3245.06,53300.0,36400.0
00052,2017-09,3827.12,63900.0,50800.0
00052,2017-03,3699.6,55500.0,37000.0
00052,2016-09,3721.37,64600.0,47900.0
00052,2016-03,3075.61,54700.0,33000.0
